Injury.Severity,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition
Fatal(3),Airplane,Cessna,T210N,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,140,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Swearingen,SA 226-TC,No,2.0,Turbo Prop,Unknown,VMC
Non-Fatal,Airplane,Beech,C-45H,No,2.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,De Havilland,DHC-2-MK3,No,1.0,Turbo Prop,Unknown,VMC
Non-Fatal,Airplane,Cessna,150M,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Cessna,150M,No,1.0,Reciprocating,Personal,IMC
Fatal(1),Airplane,Bede Aircraft,BD-5B,Yes,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,182P,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Convair,440,No,2.0,Reciprocating,Unknown,VMC
Fatal(1),Airplane,Piper,PA-31,No,2.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Piper,PA-31T,No,2.0,Turbo Prop,Personal,VMC
Fatal(2),Airplane,Beech,F50,No,2.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Cessna,150,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,180E,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,170B,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Beech,C23,No,1.0,Reciprocating,Business,VMC
Fatal(1),Airplane,Cessna,172M,No,1.0,Reciprocating,Personal,IMC
Fatal(3),Airplane,Piper,PA-28-180,No,1.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Cessna,180K,No,1.0,Reciprocating,Business,VMC
Fatal(4),Airplane,Cessna,210L,No,1.0,Reciprocating,Personal,IMC
Fatal(1),Airplane,Mooney,M20F,No,1.0,Reciprocating,Business,VMC
Fatal(2),Airplane,Beech,G35,No,1.0,Reciprocating,Personal,IMC
Fatal(1),Airplane,Cessna,177B,No,1.0,Reciprocating,Business,UNK
Fatal(3),Airplane,Grumman,AA5A,No,1.0,Reciprocating,Personal,IMC
Fatal(3),Airplane,Swearingen,SA226-T(B),No,2.0,Turbo Prop,Executive/corporate,IMC
Incident,Airplane,De Havilland,DHC-6-300,No,2.0,Turbo Prop,Ferry,IMC
Non-Fatal,Airplane,Piper,AEROSTAR 601P,No,2.0,Reciprocating,Executive/corporate,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,182P,No,1.0,Reciprocating,Aerial Observation,VMC
Non-Fatal,Airplane,Cessna,177RG,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Beachner,QUICK SILVER,Yes,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,182E,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,150H,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,340A,No,2.0,Reciprocating,Business,UNK
Non-Fatal,Airplane,Piper,PA-38-112,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Canadair,CL-44D4,No,4.0,Turbo Prop,Unknown,VMC
Non-Fatal,Airplane,Piper,PA-32,No,1.0,Reciprocating,Unknown,VMC
Incident,Airplane,Piper,PA-31-350,No,2.0,Reciprocating,Executive/corporate,VMC
Fatal(2),Airplane,Beech,58,No,2.0,Reciprocating,Personal,IMC
Fatal(3),Airplane,Cessna,182N,No,1.0,Reciprocating,Personal,IMC
Fatal(1),Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Business,IMC
Fatal(1),Airplane,Cessna,210,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Fatal(4),Airplane,Cessna,P210N,No,1.0,Reciprocating,Personal,IMC
Fatal(1),Airplane,Cessna,402A,No,2.0,Reciprocating,Unknown,IMC
Non-Fatal,Airplane,Douglas,DC-3,No,2.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Executive/corporate,IMC
Fatal(1),Airplane,Piper,PA-28-235,No,1.0,Reciprocating,Personal,IMC
Fatal(1),Airplane,Grumman,AA-1,Yes,1.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Piper,PA-32,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,207,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Mooney,M-20,Yes,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Air Tractor,301,No,1.0,Reciprocating,Unknown,VMC
Fatal(2),Airplane,Sons Mustang,II,Yes,1.0,Reciprocating,Unknown,VMC
Incident,Airplane,Dassault/sud,FALCON 20,No,2.0,Turbo Fan,Unknown,VMC
Non-Fatal,Airplane,Cessna,172M,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Cessna,172,No,1.0,Reciprocating,Personal,IMC
Fatal(2),Airplane,Mooney,M20C,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Grumman,G-164A,No,1.0,Reciprocating,Aerial Application,VMC
Fatal(2),Airplane,Mcdonnell Douglas,DC-10-30,No,3.0,Turbo Fan,Unknown,IMC
Fatal(1),Airplane,Beech,A23A,No,1.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Piper,PA-32-300,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,150M,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-34-200T,No,2.0,Reciprocating,Personal,VMC
Fatal(2),Airplane,Piper,PA-28-235,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,150H,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-38-112,No,1.0,Reciprocating,Unknown,VMC
Fatal(7),Airplane,Robertson,C-402B,No,2.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,UNK
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172RG,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,177,No,1.0,Reciprocating,Business,VMC
Fatal(2),Airplane,Cessna,182M,No,1.0,Reciprocating,Personal,UNK
Non-Fatal,Airplane,Cessna,152II,No,1.0,Reciprocating,Instructional,VMC
