Injury.Severity,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition
Non-Fatal,Airplane,Cessna,182,No,1.0,Reciprocating,Business,VMC
Fatal(4),Airplane,Piper,PA-14,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Mooney,M20A,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,T337G,No,2.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Cessna,177,No,1.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-18-150,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Piper,PA-28R-201T,No,1.0,Reciprocating,Personal,IMC
Incident,Airplane,Boeing,727-223,No,3.0,Turbo Fan,Unknown,IMC
Fatal(3),Airplane,Piper,PA-28R-200,No,1.0,Reciprocating,Personal,IMC
Fatal(7),Airplane,Piper,PA-32-300,No,1.0,Reciprocating,Unknown,UNK
Non-Fatal,Airplane,Piper,PA-22,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,150G,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172M,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Beech,C23,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Cessna,172A,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Luscombe,8A,Yes,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Cessna,404,No,2.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Cessna,210,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,A185F,No,1.0,Reciprocating,Unknown,VMC
Fatal(1),Airplane,Cessna,T210M,No,1.0,Reciprocating,Unknown,VMC
Fatal(1),Airplane,Cessna,T210M,No,1.0,Reciprocating,Business,VMC
Incident,Airplane,Boeing,737-222,No,2.0,Turbo Jet,Unknown,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Beech,G35,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Beech,V35B,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-28RT-201T,No,1.0,Reciprocating,Personal,IMC
Fatal(1),Airplane,Cessna,310R,No,2.0,Reciprocating,Unknown,VMC
Incident,Airplane,Mcdonnell-douglas,DC-10-30,No,3.0,Turbo Fan,Unknown,VMC
Fatal(1),Airplane,Piper,PA-28-180,No,1.0,Reciprocating,Unknown,IMC
Non-Fatal,Airplane,Piper,PA-28R-200,No,1.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Piper,J-3,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,150M,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,182N,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,182P,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Beech,58P,No,2.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Taylorcraft,BC12-D1,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172RG,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Piper,PA-28-180,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,T210N,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-28-161,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-34-200T,No,2.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Aeronca,7AC,No,1.0,Reciprocating,Unknown,UNK
Non-Fatal,Airplane,Cessna,210N,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Piper,PA-32,No,1.0,Reciprocating,Unknown,VMC
Incident,Airplane,Lockheed,L-1011,No,3.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Boeing,747,No,4.0,Turbo Fan,,VMC
Fatal(1),Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Personal,IMC
Fatal(1),Airplane,De Havilland,DHC-6,No,2.0,Turbo Prop,Skydiving,VMC
Incident,Airplane,Douglas,DC-10-10,No,3.0,Turbo Fan,Unknown,VMC
Fatal(11),Airplane,Lockheed,"LEARSTAR, L-18-56",No,2.0,Reciprocating,Skydiving,VMC
Fatal(1),Airplane,Short Brothers,SD3-30,No,2.0,Turbo Prop,Unknown,VMC
Incident,Airplane,Boeing,727-200,No,3.0,Turbo Fan,Unknown,VMC
Non-Fatal,Airplane,Beech,C35,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,180K,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Beech,99,No,2.0,Turbo Prop,Unknown,VMC
Non-Fatal,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Lockheed,L-1011-385-3,No,3.0,Turbo Fan,Unknown,VMC
Fatal(1),Airplane,Piper,PA-18-150,No,1.0,Reciprocating,Aerial Application,VMC
Incident,Airplane,Swearingen,SA226TC,No,2.0,Turbo Prop,Unknown,IMC
Non-Fatal,Airplane,Cessna,R172E,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Cessna,182A,No,1.0,Reciprocating,Skydiving,VMC
Non-Fatal,Airplane,Cessna,182Q,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,T303,No,2.0,Reciprocating,Positioning,VMC
Fatal(1),Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Lake,LA-4,No,1.0,Reciprocating,Personal,VMC
Incident,Airplane,Cessna,441,No,2.0,Turbo Prop,Business,VMC
Fatal(17),Airplane,Cessna,208,No,1.0,Turbo Prop,Skydiving,VMC
Fatal(3),Airplane,Lockheed,L-402-2 (LASA-60),No,1.0,Reciprocating,Skydiving,VMC
Non-Fatal,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Personal,VMC
Fatal(2),Airplane,Grumman,G164A,No,1.0,Reciprocating,Aerial Application,VMC
Fatal(2),Airplane,Grumman,G164A,No,1.0,Reciprocating,Aerial Application,VMC
Fatal(2),Airplane,Cessna,TU206F,No,1.0,Reciprocating,Skydiving,VMC
Fatal(2),Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Incident,Airplane,Grumman,F-14A,No,2.0,Turbo Jet,Public Aircraft,VMC
Incident,Airplane,Douglas,DC-9-31,No,2.0,Turbo Fan,Unknown,VMC
Non-Fatal,Airplane,Glasair,GLASAIR,Yes,1.0,Reciprocating,Personal,VMC
Fatal(10),Airplane,Mooney,M-20C,No,1.0,Reciprocating,Instructional,VMC
Fatal(10),Airplane,Swearingen,SA-226TC,No,2.0,Turbo Prop,Unknown,VMC
Fatal(1),Airplane,Boeing,707-323B,No,4.0,Turbo Jet,Unknown,UNK
Non-Fatal,Airplane,Piper,PA 16,No,,,Personal,VMC
Fatal(1),Airplane,Mercer,OWL RACER 65-2,Yes,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Gulfstream,AA-5B,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Piper,PA-38,No,0.0,Unknown,Instructional,UNK
Non-Fatal,Airplane,Beech,B90,No,2.0,Turbo Prop,Unknown,IMC
Non-Fatal,Airplane,Boeing,757-225,No,2.0,Unknown,,UNK
Incident,Airplane,Boeing,747-123,No,4.0,Turbo Fan,Unknown,VMC
Fatal(1),Airplane,Helio,HST-550A,No,1.0,Turbo Prop,Skydiving,VMC
Non-Fatal,Airplane,Cessna,150K,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Piper,PA-28-180,No,1.0,Reciprocating,Ferry,VMC
Non-Fatal,Airplane,Airbus Industrie,A-300B4-203,No,0.0,Unknown,Unknown,VMC
Non-Fatal,Airplane,Boeing,747SP-21,No,4.0,Turbo Fan,Unknown,UNK
Fatal(2),Airplane,Cessna,310R,No,2.0,Reciprocating,Positioning,VMC
Non-Fatal,Airplane,Univair,GLOBE GC-1B,No,1.0,Reciprocating,Personal,VMC
Fatal(3),Airplane,Maule,M-5,No,1.0,Reciprocating,Other Work Use,IMC
Non-Fatal,Airplane,Cessna,210L,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,"J3 ""CUB""",No,1.0,Reciprocating,Personal,VMC
Fatal(7),Airplane,Cessna,182B,No,1.0,Reciprocating,Other Work Use,VMC
Fatal(7),Airplane,Beech,A36,No,1.0,Reciprocating,Skydiving,VMC
Non-Fatal,Airplane,Piper,PA-32-300,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Cessna,182,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Taylorcraft,BC12D,No,1.0,Unknown,Personal,VMC
Non-Fatal,Airplane,Globe,SWIFT GCIB,No,1.0,Reciprocating,Personal,VMC
Fatal(2),Airplane,Cessna,208B,No,1.0,Turbo Prop,Unknown,IMC
Fatal(1),Airplane,Piper,PA-28-181,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,170B,No,1.0,Reciprocating,Personal,VMC
Fatal(2),Airplane,Cessna,172,No,1.0,Reciprocating,Unknown,VMC
Fatal(2),Airplane,Embraer,EMB-120,No,2.0,Turbo Prop,Unknown,VMC
Non-Fatal,Airplane,Embraer,EMB-110,No,2.0,Turbo Prop,Unknown,VMC
Non-Fatal,Airplane,Cessna,150,No,1.0,Reciprocating,Instructional,VMC
Fatal(1),Airplane,Beech,C99 AIRLINER,No,2.0,Unknown,Unknown,UNK
Fatal(1),Airplane,Consolidated Aeronautics Inc.,LA-4-200,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Piper,PA-28-180,No,1.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Mcdonnell Douglas,DC-10-30,No,0.0,Unknown,Unknown,UNK
Fatal(2),Airplane,Cessna,152,No,1.0,Reciprocating,Personal,IMC
Fatal(4),Airplane,Piper,PA-24-260,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,185B,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Personal,IMC
Fatal(1),Airplane,Beech,B55,No,2.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Beech,D50C,No,2.0,Reciprocating,Skydiving,VMC
Fatal(2),Airplane,Cessna,182B,No,1.0,Reciprocating,Skydiving,VMC
Non-Fatal,Airplane,Piper,PA-34,No,0.0,Unknown,Public Aircraft,UNK
Fatal(7),Airplane,Cessna,182,No,1.0,Reciprocating,Skydiving,VMC
Fatal(7),Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Instructional,VMC
Fatal(1),Airplane,Cessna,172N,No,1.0,Reciprocating,Personal,IMC
Fatal(2),Airplane,Piper,PA-28-201T,No,1.0,Reciprocating,Business,IMC
Incident,Airplane,Boeing,727-214,No,3.0,Turbo Fan,Unknown,VMC
Non-Fatal,Airplane,Vans Aircraft,RV-4,Yes,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Cessna,182,No,1.0,Reciprocating,Skydiving,VMC
Non-Fatal,Airplane,Bellanca,7GCBC,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-18,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-18-150,No,1.0,Reciprocating,,VMC
Fatal(2),Airplane,Beech,A36,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,120,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Glasair,SH-2R,Yes,1.0,Reciprocating,Other Work Use,VMC
Incident,Airplane,Boeing,B-747-121,No,0.0,Unknown,Unknown,VMC
Fatal(1),Airplane,Piper,"PA-31T3, T1040",No,2.0,Turbo Prop,,IMC
Fatal(2),Airplane,Beech,58P,No,2.0,Reciprocating,Business,IMC
Fatal(27),Airplane,Fokker,28-4000,No,2.0,Turbo Fan,Unknown,IMC
Fatal(16),Airplane,De Havilland,DHC-6-200,No,2.0,Turbo Prop,Skydiving,VMC
Non-Fatal,Airplane,Lockheed,L-1011-385-1,No,3.0,Turbo Fan,Unknown,VMC
Fatal(12),Airplane,Beech,C-45H,No,2.0,Reciprocating,Skydiving,VMC
Non-Fatal,Airplane,Cessna,T210,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-34-200,No,0.0,Unknown,Personal,VMC
Fatal(2),Airplane,Piper,PA-18-150,No,1.0,Reciprocating,Business,VMC
Fatal(2),Airplane,"Emory W. Greer, Jr.",VARI-EZE,Yes,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Cessna,182A,No,1.0,Reciprocating,Skydiving,VMC
Non-Fatal,Airplane,Piper,PA-34-220,No,1.0,Reciprocating,Ferry,VMC
Fatal(2),Airplane,Glasair,SH-2F,Yes,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Beech,C-45H,No,2.0,Reciprocating,Skydiving,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Aerial Observation,VMC
Non-Fatal,Airplane,Piper,PA-32R-300,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Piper,PA32R-301,No,1.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Piper,PA-32,No,1.0,Reciprocating,Unknown,VMC
Fatal(5),Airplane,Cessna,172N,No,1.0,Reciprocating,Instructional,VMC
Fatal(5),Airplane,Palmer,HAWK BM-4,Yes,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Beech,2000 (STARSHIP),No,,Unknown,Business,UNK
Fatal(4),Airplane,Cessna,K172R,No,1.0,Reciprocating,Skydiving,VMC
Non-Fatal,Airplane,Cessna,150,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,208,No,1.0,Turbo Prop,Unknown,VMC
Non-Fatal,Airplane,Piper,PA-28-140,No,,Unknown,Personal,VMC
Non-Fatal,Airplane,Piper,PA32R-301T,No,,Unknown,Personal,VMC
Fatal(2),Airplane,Aero Commander,500S,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Piper,PA-32R-300,No,,Unknown,Personal,VMC
Fatal(2),Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Business,VMC
Fatal(54),Airplane,Boeing,737-400,No,,Unknown,Unknown,IMC
Non-Fatal,Airplane,Piper,PA-28RT-201,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Lockheed,L-1011-385,No,3.0,Turbo Fan,Unknown,VMC
Non-Fatal,Airplane,Short Brothers,SD3-60,No,2.0,Turbo Prop,Unknown,VMC
Non-Fatal,Airplane,Cessna,185,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,550,Yes,2.0,Turbo Fan,Personal,VMC
Fatal(6),Airplane,Douglas,DC-8F-54,No,,Unknown,,IMC
Non-Fatal,Airplane,Cessna,550,No,2.0,Turbo Fan,Public Aircraft,VMC
Incident,Airplane,Boeing,737-500,No,2.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Boeing,767-383ER,No,2.0,Turbo Fan,,VMC
Fatal(1),Airplane,De Havilland,DHC-6,No,2.0,Turbo Prop,Skydiving,VMC
Fatal(12),Airplane,Beech,65,No,2.0,Reciprocating,Skydiving,VMC
Non-Fatal,Airplane,Ayres,AY-65,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Piper,PA-18-150,No,1.0,Reciprocating,Personal,VMC
Incident,Airplane,Boeing,B727-224,No,,Unknown,Unknown,UNK
Fatal(160),Airplane,Boeing,B757,No,,Unknown,Unknown,VMC
Non-Fatal,Airplane,Beech,1900D,No,2.0,Turbo Prop,Unknown,IMC
Fatal(4),Airplane,Cessna,337,No,,Unknown,Other Work Use,VMC
Fatal(4),Airplane,Cessna,337,No,,Unknown,Other Work Use,VMC
Non-Fatal,Airplane,Cessna,185,No,1.0,Reciprocating,Unknown,VMC
Fatal(1),Airplane,Cessna,P206C,No,1.0,Reciprocating,Skydiving,VMC
Fatal(1),Airplane,De Havilland,DHC-6,No,2.0,Turbo Prop,Skydiving,VMC
Fatal(2),Airplane,Mcdonnell Douglas,MD-88,No,2.0,Turbo Jet,Unknown,VMC
Non-Fatal,Airplane,Grumman,G164,No,1.0,Reciprocating,Aerial Application,VMC
Non-Fatal,Airplane,Grumman-schweizer,G-164,No,1.0,Reciprocating,Aerial Application,VMC
Fatal(97),Airplane,Fokker,100,No,,Unknown,Unknown,VMC
Incident,Airplane,Mcdonnell Douglas,MD-11,No,,Unknown,Unknown,UNK
Fatal(125),Airplane,Boeing,767,No,,Unknown,Unknown,VMC
Incident,Airplane,Boeing,737,No,,,,
Non-Fatal,Airplane,Britten-norman,BN2A-26,No,,Unknown,Unknown,IMC
Fatal(10),Airplane,Cessna,414,No,,Unknown,Business,UNK
Fatal(1),Airplane,Beech,C23,No,1.0,Reciprocating,Unknown,VMC
Fatal(2),Airplane,Piper,PA-60-601P,No,2.0,Reciprocating,Personal,IMC
Unavailable,Airplane,Mcdonnell Douglas,MD-82,No,,Unknown,Unknown,UNK
Fatal(2),Airplane,Cessna,208,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Boeing,737-201,No,2.0,Turbo Jet,Unknown,VMC
Fatal(35),Airplane,Boeing,737-300,Yes,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Boeing,747-400,No,4.0,Turbo Fan,Unknown,VMC
Non-Fatal,Airplane,Boeing,B777,No,2.0,Turbo Fan,Unknown,VMC
Fatal(6),Airplane,Cessna,205,No,1.0,Reciprocating,Skydiving,VMC
Fatal(2),Airplane,Cessna,TU-206G,No,,Unknown,Personal,VMC
Non-Fatal,Airplane,Boeing,767-300,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Piper,PA-18,No,1.0,Reciprocating,Instructional,VMC
Incident,Airplane,Airbus Industrie,A300-600,Yes,,Unknown,Unknown,UNK
Incident,Airplane,Mcdonnell Douglas,DC-9-15,No,2.0,Turbo Jet,Unknown,VMC
Unavailable,Airplane,Learjet,LR-31,No,,Unknown,Unknown,UNK
Fatal(1),Airplane,Boeing,757-200,No,,Unknown,Unknown,UNK
Fatal(228),Airplane,Boeing,747-300,No,4.0,Turbo Fan,Unknown,IMC
Non-Fatal,Airplane,Piper,PA-18-150,No,1.0,Reciprocating,Instructional,VMC
Fatal(1),Airplane,Beech,95-B55,No,2.0,Reciprocating,Unknown,VMC
Fatal(5),Airplane,Cessna,182C,No,1.0,Reciprocating,Skydiving,VMC
Incident,Airplane,De Havilland,DHC-2,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Beech,V35B,No,1.0,Reciprocating,Personal,VMC
Fatal(5),Airplane,Cessna,182E,No,1.0,Reciprocating,Skydiving,VMC
Fatal(2),Airplane,Piper,PA-28-235,No,1.0,Reciprocating,Personal,IMC
Fatal(9),Airplane,Cessna,208B,No,1.0,Turbo Prop,,IMC
Fatal(8),Airplane,Beech,BE-200,No,,Unknown,Unknown,IMC
Unavailable,Airplane,Cessna,650-0220,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Piper,PA-25-235C,No,1.0,Reciprocating,Aerial Application,VMC
Unavailable,Airplane,Mcdonnell Douglas,MD-11,Yes,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Piper,PA-22-150,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,De Havilland,DHC-6-6,No,2.0,Turbo Prop,Skydiving,VMC
Non-Fatal,Airplane,Mcdonnell Douglas,DC-8F,No,,Unknown,Unknown,UNK
Incident,Airplane,Mcdonnell Douglas,MD-83,No,,Unknown,Unknown,UNK
Incident,Airplane,Mcdonnell Douglas,MD83-2,Yes,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,707-320,No,,Unknown,Positioning,VMC
Non-Fatal,Airplane,Boeing,767-322ER,No,,Turbo Fan,Unknown,UNK
Incident,Airplane,Saab-scania Ab (saab),2000,No,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,757-200,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Fokker,F-100,No,,Unknown,Unknown,UNK
Incident,Airplane,Mcdonnell Douglas,DC-10-30,No,,Unknown,Unknown,UNK
Incident,Airplane,Mcdonnell Douglas,DC8-73,No,,Unknown,Unknown,UNK
Fatal(6),Airplane,Boeing,707-336,No,,Unknown,Unknown,UNK
Fatal(6),Airplane,Cessna,U206G,No,1.0,Reciprocating,Skydiving,VMC
Incident,Airplane,Boeing,767-304,No,,Unknown,Unknown,UNK
Unavailable,Airplane,Boeing,737-200,Yes,,Unknown,Unknown,UNK
Unavailable,Airplane,Cessna,210,Yes,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,737-500,No,,Unknown,Other Work Use,UNK
Incident,Airplane,Douglas,MD-80,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,North American,T-28B,No,1.0,Reciprocating,Positioning,VMC
Unavailable,Airplane,Boeing,B-737-500,No,,Unknown,Unknown,UNK
Fatal(2),Airplane,Rans Inc.,AIRAILE S 12,Yes,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Mcdonnell Douglas,MD-83,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Piper,PA-24-180,No,1.0,Reciprocating,Personal,VMC
Incident,Airplane,Boeing,737-800,No,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,737-400,No,,Unknown,Unknown,UNK
Fatal(1),Airplane,Cessna,182,No,1.0,Reciprocating,Skydiving,VMC
Incident,Airplane,Airbus Industrie,A300,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Molino Oy,MU2-2B-25,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Lockheed,L-1011,No,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,747,No,,Unknown,Unknown,UNK
Fatal(2),Airplane,Swearingen,,No,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,777,No,,Unknown,Unknown,UNK
Unavailable,Airplane,Boeing,747-400,No,,Unknown,Unknown,IMC
Incident,Airplane,Boeing,737-200,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Britten-norman,BN-2A-26,No,,Unknown,Unknown,UNK
Incident,Airplane,Airbus Industrie,319,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Dassault,FALCON DA-20,No,2.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Boeing,767,No,,Unknown,Unknown,VMC
Fatal(7),Airplane,Cessna,U206G,No,,Unknown,Personal,UNK
Incident,Airplane,Mcdonnell Douglas,DC-10-30,No,,Unknown,Unknown,UNK
Fatal(1),Airplane,Saab-scania Ab (saab),340A,No,2.0,Turbo Prop,Unknown,VMC
Incident,Airplane,Beech,1900C,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Boeing,777-222B,No,,Turbo Fan,Unknown,UNK
Incident,Airplane,Saab-scania Ab (saab),340,No,,Unknown,Unknown,IMC
Unavailable,Airplane,Boeing,707-355C,Yes,,Unknown,Unknown,UNK
Incident,Airplane,Airbus Industrie,A300-600,No,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,747-400,No,,Unknown,Unknown,UNK
Unavailable,Airplane,,A330,No,,Unknown,Unknown,UNK
Fatal(2),Airplane,Beech,KINGAIR 300,No,,Unknown,Unknown,UNK
Fatal(2),Airplane,Beech,95,Yes,,Unknown,Unknown,UNK
Incident,Airplane,Mcdonnell Douglas,MD-11,No,,Unknown,Unknown,UNK
Incident,Airplane,Embraer,EMB-145,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Boeing,767-300,No,,Turbo Fan,Unknown,UNK
Unavailable,Airplane,Mcdonnell Douglas,MD-82,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Boeing,707,No,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,747-200,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Lockheed,L-188,No,,Turbo Prop,,
Unavailable,Airplane,Boeing,737-228,No,,Unknown,Unknown,IMC
Non-Fatal,Airplane,Boeing,747-200F,No,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,727-200,No,,Unknown,Unknown,UNK
Unavailable,Airplane,Mcdonnell Douglas,MD-83,No,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,MD80/87,No,,Unknown,Unknown,UNK
Unavailable,Airplane,Cessna,172M,No,,Unknown,Unknown,UNK
Fatal(6),Airplane,Cessna,205,No,1.0,Reciprocating,Skydiving,VMC
Fatal(1),Airplane,Beech,B90,No,2.0,Turbo Prop,Skydiving,VMC
Non-Fatal,Airplane,Mooney,M20,No,,Unknown,Instructional,UNK
Non-Fatal,Airplane,Boeing,737-300,Yes,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,757,No,,Unknown,Unknown,UNK
Fatal(4),Airplane,Cessna,182A,No,1.0,Reciprocating,Skydiving,VMC
Incident,Airplane,Mcdonnell Douglas,DC-10,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Airbus Industrie,A310,No,,Turbo Fan,,VMC
Non-Fatal,Airplane,Cessna,182Q,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Mcdonnell Douglas,MD-11,No,,Turbo Fan,,UNK
Fatal(2),Airplane,Beech,99,No,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,B-737,No,,,,
Fatal(1),Airplane,Piper,PA-18-150,No,1.0,Reciprocating,Aerial Application,VMC
Non-Fatal,Airplane,Embraer,EMB-110,No,,Unknown,Unknown,UNK
Fatal(10),Airplane,Beech,65-A90,No,2.0,Turbo Prop,Skydiving,VMC
Non-Fatal,Airplane,Mcdonnell Douglas,MD-11,No,,Unknown,Unknown,VMC
Non-Fatal,Airplane,Quicksilver,GT-500,No,1.0,Reciprocating,Unknown,UNK
Unavailable,Airplane,Hawker Siddeley,800XP,No,,Unknown,,UNK
Non-Fatal,Airplane,Mcdonnell Douglas,MD-11,No,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,767,No,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,737-200,No,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,747SP,No,,Unknown,Unknown,UNK
Fatal(5),Airplane,Cessna,182A,No,1.0,Reciprocating,Skydiving,VMC
Incident,Airplane,Mcdonnell Douglas,MD-11,No,,Unknown,Unknown,UNK
Non-Fatal,Airplane,Cessna,172P,No,1.0,Reciprocating,Instructional,IMC
Unavailable,Airplane,Boeing,747-400,No,,Unknown,Unknown,IMC
Non-Fatal,Airplane,Grumman,G164,No,1.0,Reciprocating,Aerial Application,VMC
Non-Fatal,Airplane,Beech,D35,No,1.0,Reciprocating,Unknown,UNK
Non-Fatal,Airplane,Boeing,777-200,No,,Turbo Fan,Unknown,UNK
Fatal(10),Airplane,Piper,PA31-350,,,Unknown,Business,VMC
Non-Fatal,Airplane,Boeing,777-222,No,,Turbo Fan,Unknown,IMC
Fatal(18),Airplane,Mcdonnell Douglas,DC-10-30,No,,Unknown,Unknown,UNK
Incident,Airplane,Boeing,737-3K2,No,,Unknown,Unknown,UNK
