Injury.Severity,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition
Non-Fatal,Airplane,Mcdonnell Douglas,DC-9-82,No,2.0,Turbo Fan,,VMC
Incident,Airplane,Boeing,747,No,4.0,Turbo Fan,,
Non-Fatal,Airplane,Boeing,757-251,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Fairchild,Dornier 328-300,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Boeing,737,No,2.0,Turbo Fan,,VMC
Incident,Airplane,Raytheon Corporate Jets,Beechjet 400A,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,Boeing,777,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Embraer,EMB-135BJ,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,Raytheon Corporate Jets,400A,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,Bombardier,CL-600-1A11,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Boeing,777-200,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Canadair,CL-600-2A12,No,2.0,Turbo Fan,Executive/corporate,IMC
Non-Fatal,Airplane,Airbus Industrie,A-319-114,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Mcdonnell Douglas,DC-9-51,No,2.0,Turbo Fan,,VMC
Incident,Airplane,Boeing,717-200,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,Canadair,CL600,No,2.0,Turbo Fan,Positioning,VMC
Incident,Airplane,Airbus Industrie,300B4-200,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,Boeing,767-232,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Cessna,525A,No,2.0,Turbo Fan,Business,VMC
Incident,Airplane,Airbus Industrie,A320-232,No,2.0,Turbo Fan,,VMC
Incident,Airplane,Airbus,A320-232,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Boeing,747-200,No,4.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Eclipse Aviation,HXB,No,2.0,Turbo Fan,Other Work Use,VMC
Non-Fatal,Airplane,Israel Aircraft Industries,1124,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Hawker Siddeley,125-700,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Boeing,727-225,No,3.0,Turbo Fan,Positioning,VMC
Incident,Airplane,Boeing,767-300B,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,Gulfstream Aerospace,G-200,No,2.0,Turbo Fan,Executive/corporate,VMC
Fatal(4),Airplane,Cessna,560,No,2.0,Turbo Fan,Executive/corporate,VMC
Incident,Airplane,Boeing,747,No,,Turbo Fan,,
Incident,Airplane,Mcdonnell Douglas,DC-9-82,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Mcdonnell Douglas,DC10,No,3.0,Turbo Fan,,VMC
Fatal(113),Airplane,Airbus,A320,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,Cessna,525,No,2.0,Turbo Fan,Business,VMC
Non-Fatal,Airplane,Learjet,55,No,2.0,Turbo Fan,,VMC
Incident,Airplane,Canadair,CL600-2B19-200,No,,Turbo Fan,,
Non-Fatal,Airplane,Boeing,MD-10-10F,No,3.0,Turbo Fan,,VMC
Incident,Airplane,Airbus,A320,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,Raytheon,Hawker 800XP,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Embraer,EMB-170,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Airbus Industrie,A319-112,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,British Aerospace,HS 125-700A,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,Airbus,A-320-200,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,"Bombardier, Inc.",BD-100-1A10,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Boeing,737-3A4,No,2.0,Turbo Fan,,VMC
Incident,Airplane,Boeing,747-436,No,4.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Boeing,737-7H4,No,2.0,Turbo Fan,,VMC
Incident,Airplane,Mcdonnell Douglas,MD11,No,3.0,Turbo Fan,,
Non-Fatal,Airplane,Learjet,35A,No,2.0,Turbo Fan,,VMC
Incident,Airplane,Dassault,FALCON900,No,3.0,Turbo Fan,,
Incident,Airplane,Airbus,A300,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,Gates Learjet,36A,No,2.0,Turbo Fan,Public Aircraft,IMC
Incident,Airplane,Learjet,,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Canadair,CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Bombardier,CL-600-2B19,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,Boeing,737-300,No,2.0,Turbo Fan,,IMC
Incident,Airplane,Mcdonnell Douglas,DC-10-30,No,3.0,Turbo Fan,,VMC
Incident,Airplane,Learjet,36,No,2.0,Turbo Fan,Business,
Fatal(6),Airplane,Cessna,550,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Dassault-breguet,Mystere Falcon 900,No,3.0,Turbo Fan,Executive/corporate,VMC
Incident,Airplane,"Bombardier, Inc.",CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Mcdonnell Douglas,MD 83,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Boeing,777-222,No,2.0,Turbo Fan,,VMC
Fatal(2),Airplane,Cessna,500,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,Boeing,777-232,No,2.0,Turbo Fan,,VMC
Incident,Airplane,Airbus,A330,No,2.0,Turbo Fan,,
Incident,Airplane,Learjet,,No,2.0,Turbo Fan,Unknown,
Non-Fatal,Airplane,Learjet Inc,60,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,Israel Aircraft Industries,Astra SPX,No,2.0,Turbo Fan,Executive/corporate,IMC
Non-Fatal,Airplane,Mcdonnell Douglas,DC-9-82 (MD-82),No,2.0,Turbo Fan,,VMC
Incident,Airplane,Airbus Industrie,A320-232,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Learjet,35A,No,2.0,Turbo Fan,Business,IMC
Incident,Airplane,Boeing,757-225,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,Gulfstream Aerospace,G-IV,No,2.0,Turbo Fan,Business,VMC
Incident,Airplane,Boeing,737-300,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Cessna,551,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,Embraer,EMB-190,No,2.0,Turbo Fan,Positioning,IMC
Non-Fatal,Airplane,Boeing,777-222,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Bombardier,CL600-2B19,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,Airbus Industrie,A330-323,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Mcdonnell Douglas,DC-9-83,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Boeing,737-2H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Airbus Industrie,A319-114,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,"Bombardier, Inc.",CL-600-2C10,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Airbus,A320,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,"Bombardier, Inc.",35A,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Boeing,B757-200,No,,Turbo Fan,,VMC
Fatal,Airplane,CESSNA,525,No,2.0,Turbo Fan,Personal,IMC
Non-Fatal,Airplane,North American Rockwell Corp.,NA-265-80,No,2.0,Turbo Fan,Ferry,VMC
Non-Fatal,Airplane,"Bombardier, Inc.",CL-600,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BEECHCRAFT,390,No,2.0,Turbo Fan,Business,VMC
Non-Fatal,Airplane,EMBRAER,ERJ170,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,McDonnell Douglas,MD-88,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Boeing,737-700,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,BOEING,737-300,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Boeing,777-2Q8,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Airbus Industrie,A320,No,,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-3H4,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,Cessna,525B,No,2.0,Turbo Fan,Business,VMC
Non-Fatal,Airplane,BOEING,737-524,No,2.0,Turbo Fan,,VMC
,Airplane,BOEING,777-300ER,No,,Turbo Fan,,
,Airplane,AIRBUS,A321-231,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,Cessna,750,No,2.0,Turbo Fan,Positioning,VMC
